surface	function	defined_in	refs_same_surface	refs_tests	refs_elsewhere
runtime	red	plugins/spark/bin/spark:20	334	31	17
runtime	green	plugins/spark/bin/spark:21	108	23	46
runtime	yellow	plugins/spark/bin/spark:22	182	1	1
runtime	__spark_memo_key	plugins/spark/bin/spark:38	3	0	2
runtime	__spark_memo_read	plugins/spark/bin/spark:50	3	0	1
runtime	git_root	plugins/spark/bin/spark:74	43	3	3
runtime	check_json	plugins/spark/bin/spark:116	14	1	0
runtime	spark_module_for	plugins/spark/bin/spark:153	2	0	0
runtime	spark_load_module	plugins/spark/bin/spark:161	2	0	0
runtime	spark_runtime_source_bytes	plugins/spark/bin/spark:191	2	0	0
runtime	spark_record_runtime_footprint	plugins/spark/bin/spark:211	2	0	0
runtime	spark_load_all_modules	plugins/spark/bin/spark:243	1	0	0
runtime	usage	plugins/spark/bin/spark:285	36	11	40
runtime	prefs_operator_path	plugins/spark/bin/spark:307	3	0	1
runtime	permission_baseline	plugins/spark/bin/spark:315	3	0	1
runtime	read_flat_json	plugins/spark/bin/spark:325	17	1	4
runtime	resolve_prefs	plugins/spark/bin/spark:355	9	1	4
runtime	pref_get	plugins/spark/bin/spark:417	17	1	2
runtime	apply_standard	plugins/spark/bin/spark:428	7	0	2
runtime	cmd_version	plugins/spark/bin/spark:638	2	0	1
runtime	lint_skill_md	plugins/spark/bin/spark:716	3	1	1
runtime	doctor_requirements	plugins/spark/bin/spark:752	1	0	1
runtime	cmd_doctor	plugins/spark/bin/spark:963	2	0	2
runtime	cmd_new_skill	plugins/spark/bin/spark:1797	1	0	0
runtime	cmd_preferences	plugins/spark/bin/spark:1843	1	0	0
runtime	cmd_list_skills	plugins/spark/bin/spark:1900	1	0	0
runtime	issue_refs	plugins/spark/bin/spark:1949	4	2	2
runtime	repo_git_facts	plugins/spark/bin/spark:1970	4	1	1
runtime	repo_open_pr	plugins/spark/bin/spark:1984	2	0	0
runtime	repo_recorded_intent	plugins/spark/bin/spark:1992	5	0	1
runtime	repo_classification	plugins/spark/bin/spark:2014	4	0	1
runtime	repo_trunk	plugins/spark/bin/spark:2039	4	0	3
runtime	cmd_brief	plugins/spark/bin/spark:2054	5	0	3
runtime	repo_manifest_names	plugins/spark/bin/spark:2275	3	0	0
runtime	tracked_content_count	plugins/spark/bin/spark:2289	3	0	0
runtime	classification_drifted	plugins/spark/bin/spark:2318	2	0	0
runtime	classify_repo	plugins/spark/bin/spark:2336	4	0	2
runtime	governance_shipped_model	plugins/spark/bin/spark:2478	4	0	0
runtime	governance_operator_model	plugins/spark/bin/spark:2488	2	1	0
runtime	governance_project_model	plugins/spark/bin/spark:2492	2	0	0
runtime	governance_validate	plugins/spark/bin/spark:2503	4	0	0
runtime	governance_records	plugins/spark/bin/spark:2625	5	0	0
runtime	resolve_governance	plugins/spark/bin/spark:2666	22	12	3
runtime	governance_family_members	plugins/spark/bin/spark:2787	2	0	0
runtime	governance_member_from	plugins/spark/bin/spark:2799	9	1	0
runtime	governance_structure_fact	plugins/spark/bin/spark:2807	2	0	0
runtime	release_gate_label	plugins/spark/bin/spark:2836	7	1	0
runtime	resolve_issue_taxonomy	plugins/spark/bin/spark:2854	5	1	0
runtime	gov_fallback_desc	plugins/spark/bin/spark:2877	4	0	0
runtime	taxonomy_label_color	plugins/spark/bin/spark:2884	2	2	0
runtime	taxonomy_label_desc	plugins/spark/bin/spark:2891	1	3	0
runtime	cmd_labels	plugins/spark/bin/spark:2912	2	1	2
runtime	gov_cmd_render	plugins/spark/bin/spark:3197	1	0	0
runtime	di_trunk	plugins/spark/bin/spark:3297	2	1	1
runtime	di_classify	plugins/spark/bin/spark:3312	2	1	0
runtime	di_exclusive_violated	plugins/spark/bin/spark:3337	3	2	0
runtime	di_grade	plugins/spark/bin/spark:3355	4	3	1
runtime	di_repo_nwo	plugins/spark/bin/spark:3407	5	0	1
runtime	di_split_linked	plugins/spark/bin/spark:3412	5	0	0
runtime	di_release_labels	plugins/spark/bin/spark:3431	3	0	0
runtime	di_release_branch_prefix	plugins/spark/bin/spark:3457	3	0	1
runtime	di_linked_prs	plugins/spark/bin/spark:3496	4	0	3
runtime	di_pr_paths	plugins/spark/bin/spark:3578	3	0	1
runtime	di_evidence_failed	plugins/spark/bin/spark:3588	8	0	0
runtime	di_report	plugins/spark/bin/spark:3599	15	0	1
runtime	cmd_docs_impact	plugins/spark/bin/spark:3613	2	2	3
runtime	gov_live_labels	plugins/spark/bin/spark:3904	4	0	0
runtime	gov_label_rows	plugins/spark/bin/spark:3918	5	2	0
runtime	gov_issue_rows	plugins/spark/bin/spark:3992	4	6	1
runtime	gov_gate_capture	plugins/spark/bin/spark:4127	2	1	1
runtime	release_gate_projection	plugins/spark/bin/spark:4215	5	0	0
runtime	release_gate_render	plugins/spark/bin/spark:4317	4	0	0
runtime	gov_gate_rows	plugins/spark/bin/spark:4340	2	1	0
runtime	gov_cycle_rows	plugins/spark/bin/spark:4354	2	1	1
runtime	gov_file_rows	plugins/spark/bin/spark:4407	6	3	1
runtime	gov_collect	plugins/spark/bin/spark:4447	5	1	2
runtime	gov_judgment_rows	plugins/spark/bin/spark:4624	8	4	0
runtime	gov_mechanical_rows	plugins/spark/bin/spark:4629	7	4	0
runtime	gov_admissible	plugins/spark/bin/spark:4641	3	1	0
runtime	gov_render	plugins/spark/bin/spark:4655	4	0	0
runtime	triage_rows	plugins/spark/bin/spark:4712	3	1	0
runtime	rec_row	plugins/spark/bin/spark:4871	16	0	0
runtime	rec_protected_branch	plugins/spark/bin/spark:4880	2	0	0
runtime	rec_rows	plugins/spark/bin/spark:4889	5	2	2
runtime	rec_kind	plugins/spark/bin/spark:5062	2	0	0
runtime	rec_apply_one	plugins/spark/bin/spark:5075	2	0	0
runtime	rec_still_present	plugins/spark/bin/spark:5111	2	0	0
runtime	rec_apply	plugins/spark/bin/spark:5120	2	0	0
runtime	cmd_reconcile	plugins/spark/bin/spark:5244	1	0	1
runtime	milestone_snapshot	plugins/spark/bin/spark:5396	4	0	2
runtime	ms_inventory_of	plugins/spark/bin/spark:5473	3	0	0
runtime	ms_open_count_of	plugins/spark/bin/spark:5493	1	0	0
runtime	leaves_of	plugins/spark/bin/spark:5499	1	0	0
runtime	containers_of	plugins/spark/bin/spark:5512	2	0	0
runtime	suborder_of	plugins/spark/bin/spark:5518	2	1	0
runtime	governance_family_required	plugins/spark/bin/spark:5558	2	0	0
runtime	snapshot_unread	plugins/spark/bin/spark:5563	3	0	0
runtime	milestone_inventory	plugins/spark/bin/spark:5569	3	0	0
runtime	priority_members	plugins/spark/bin/spark:5590	2	1	0
runtime	active_in_inventory	plugins/spark/bin/spark:5610	2	0	0
runtime	completed_in_inventory	plugins/spark/bin/spark:5619	2	0	0
runtime	leaves_in_inventory	plugins/spark/bin/spark:5624	2	0	0
runtime	current_milestone	plugins/spark/bin/spark:5632	4	1	1
runtime	completed_milestones	plugins/spark/bin/spark:5639	2	0	0
runtime	course_evidence	plugins/spark/bin/spark:5678	2	0	0
runtime	cmd_course	plugins/spark/bin/spark:5782	1	0	1
runtime	cmd_triage	plugins/spark/bin/spark:5931	1	0	0
runtime	cmd_governance	plugins/spark/bin/spark:6043	1	0	1
runtime	cmd_orient	plugins/spark/bin/spark:6252	1	0	0
runtime	orient_set	plugins/spark/bin/spark:6367	4	0	0
runtime	hub_locator_valid	plugins/spark/bin/spark:6500	5	0	1
runtime	cmd_hub	plugins/spark/bin/spark:6623	1	0	1
runtime	hub_set	plugins/spark/bin/spark:6689	2	0	0
runtime	cmd_install_git_hooks	plugins/spark/bin/spark:6749	2	0	1
runtime	cmd_profiles	plugins/spark/bin/spark:6832	1	0	0
runtime	cmd_setup	plugins/spark/bin/spark:6880	1	0	1
runtime	cmd_apply_permissions	plugins/spark/bin/spark:7000	3	0	3
runtime	cmd_resume	plugins/spark/bin/spark:7161	2	0	1
runtime	fp_bytes_lines	plugins/spark/bin/spark:7300	3	0	0
runtime	fp_files	plugins/spark/bin/spark:7317	3	0	0
runtime	fp_desc_chars	plugins/spark/bin/spark:7331	3	0	0
runtime	fp_plugin_bytes	plugins/spark/bin/spark:7344	4	1	0
runtime	fp_footprint_gate	plugins/spark/bin/spark:7361	2	1	0
runtime	fp_cache_stability	plugins/spark/bin/spark:7383	2	1	0
runtime	check_tier_boundary	plugins/spark/bin/spark:7420	2	1	1
runtime	check_reference_laziness	plugins/spark/bin/spark:7451	2	1	0
runtime	remote_enforcement_verdict	plugins/spark/bin/spark:7488	2	1	1
runtime	ruleset_required_checks	plugins/spark/bin/spark:7548	2	0	1
runtime	check_release_component_parity	plugins/spark/bin/spark:7565	1	1	1
runtime	now_ms	plugins/spark/bin/spark:7598	3	2	0
runtime	fp_run_ms	plugins/spark/bin/spark:7614	4	0	0
runtime	fp_median3_ms	plugins/spark/bin/spark:7622	6	0	1
runtime	fp_hot_guard	plugins/spark/bin/spark:7630	1	0	1
runtime	fp_hot_brief	plugins/spark/bin/spark:7631	1	0	0
runtime	fp_hot_doctor	plugins/spark/bin/spark:7632	1	0	0
runtime	fp_hot_governance	plugins/spark/bin/spark:7633	1	0	0
runtime	fp_over_budget	plugins/spark/bin/spark:7637	1	0	0
runtime	fp_latency	plugins/spark/bin/spark:7641	2	0	0
runtime	cmd_footprint	plugins/spark/bin/spark:7673	2	0	1
runtime	ro_snapshot	plugins/spark/bin/spark:7811	3	1	0
runtime	ro_isolate	plugins/spark/bin/spark:7823	2	0	0
runtime	ro_release	plugins/spark/bin/spark:7827	1	0	0
runtime	ro_probe	plugins/spark/bin/spark:7844	1	1	0
runtime	is_legacy_key	plugins/spark/bin/spark:7916	2	0	1
runtime	cmd_state	plugins/spark/bin/spark:7918	1	0	0
runtime	prio_show	plugins/spark/bin/spark:8054	3	0	0
runtime	next_select	plugins/spark/bin/spark:8060	3	2	2
runtime	next_impl_prs	plugins/spark/bin/spark:8295	2	1	0
runtime	next_report_impl_prs	plugins/spark/bin/spark:8339	2	1	0
runtime	next_route	plugins/spark/bin/spark:8398	3	1	0
runtime	cmd_next	plugins/spark/bin/spark:8471	1	1	3
runtime	extract_command	plugins/spark/hooks/guard-bash.sh:22	1	0	0
runtime	block	plugins/spark/hooks/guard-bash.sh:34	25	12	35
runtime	release_please_configured	plugins/spark/hooks/guard-bash.sh:63	6	0	0
runtime	is_protected_dst	plugins/spark/hooks/guard-bash.sh:144	2	0	0
runtime	is_tag_dst	plugins/spark/hooks/guard-bash.sh:158	2	0	0
runtime	is_wiki_url	plugins/spark/hooks/guard-bash.sh:173	2	0	0
runtime	is_wiki_remote	plugins/spark/hooks/guard-bash.sh:180	1	0	0
runtime	tm_is_key	plugins/spark/lib/execution.sh:60	2	1	0
runtime	tm_is_int_key	plugins/spark/lib/execution.sh:61	3	0	0
runtime	tm_secret_shaped	plugins/spark/lib/execution.sh:66	2	0	0
runtime	tm_valid_run	plugins/spark/lib/execution.sh:75	8	2	0
runtime	tm_dir	plugins/spark/lib/execution.sh:83	5	0	0
runtime	tm_file	plugins/spark/lib/execution.sh:84	7	0	0
runtime	tm_exec_count	plugins/spark/lib/execution.sh:95	6	1	0
runtime	tm_footprint_bytes	plugins/spark/lib/execution.sh:113	4	0	0
runtime	tm_footprint_modules	plugins/spark/lib/execution.sh:124	4	0	0
runtime	tm_get	plugins/spark/lib/execution.sh:141	11	0	0
runtime	tm_load	plugins/spark/lib/execution.sh:147	3	0	0
runtime	tm_cache_ratio	plugins/spark/lib/execution.sh:160	2	0	0
runtime	tm_delta	plugins/spark/lib/execution.sh:170	4	0	0
runtime	tm_no_progress	plugins/spark/lib/execution.sh:180	2	0	0
runtime	tm_binding_status	plugins/spark/lib/execution.sh:196	2	0	1
runtime	tm_live_head	plugins/spark/lib/execution.sh:206	2	0	1
runtime	tm_hot_cycle	plugins/spark/lib/execution.sh:214	2	0	0
runtime	cmd_telemetry	plugins/spark/lib/execution.sh:219	1	0	0
runtime	bg_is_key	plugins/spark/lib/execution.sh:586	2	0	0
runtime	bg_is_int_key	plugins/spark/lib/execution.sh:587	3	0	0
runtime	bg_reject_framing	plugins/spark/lib/execution.sh:594	13	1	0
runtime	bg_stage	plugins/spark/lib/execution.sh:612	8	1	0
runtime	bg_apply_staged	plugins/spark/lib/execution.sh:622	4	1	1
runtime	bg_file	plugins/spark/lib/execution.sh:642	1	0	1
runtime	bg_ambiguous	plugins/spark/lib/execution.sh:648	4	0	0
runtime	bg_load	plugins/spark/lib/execution.sh:661	2	1	1
runtime	bg_write	plugins/spark/lib/execution.sh:681	9	1	0
runtime	bg_over	plugins/spark/lib/execution.sh:701	7	1	0
runtime	bg_over_cost	plugins/spark/lib/execution.sh:708	2	0	0
runtime	cmd_budget	plugins/spark/lib/execution.sh:714	3	1	0
runtime	ev_dir	plugins/spark/lib/execution.sh:1069	2	0	0
runtime	ev_file	plugins/spark/lib/execution.sh:1070	1	0	0
runtime	ev_payload	plugins/spark/lib/execution.sh:1071	1	0	0
runtime	ev_get	plugins/spark/lib/execution.sh:1073	3	0	0
runtime	ev_load	plugins/spark/lib/execution.sh:1078	1	0	0
runtime	ev_write	plugins/spark/lib/execution.sh:1088	2	0	0
runtime	ev_drift	plugins/spark/lib/execution.sh:1106	3	1	0
runtime	ev_tokens	plugins/spark/lib/execution.sh:1119	2	0	0
runtime	cmd_evidence	plugins/spark/lib/execution.sh:1129	1	0	0
runtime	route_policy_file	plugins/spark/lib/execution.sh:1369	2	0	0
runtime	route_rows	plugins/spark/lib/execution.sh:1378	13	1	0
runtime	route_class_rank	plugins/spark/lib/execution.sh:1382	3	0	1
runtime	route_model	plugins/spark/lib/execution.sh:1383	4	0	0
runtime	route_effort	plugins/spark/lib/execution.sh:1384	4	0	0
runtime	rt_dir	plugins/spark/lib/execution.sh:1389	2	0	0
runtime	rt_run	plugins/spark/lib/execution.sh:1390	3	0	0
runtime	rt_ledger	plugins/spark/lib/execution.sh:1391	2	0	0
runtime	rt_get	plugins/spark/lib/execution.sh:1393	4	0	0
runtime	cmd_route	plugins/spark/lib/execution.sh:1398	1	1	0
runtime	ci_file	plugins/spark/lib/execution.sh:1725	1	0	1
runtime	ci_load	plugins/spark/lib/execution.sh:1727	1	0	1
runtime	ci_write	plugins/spark/lib/execution.sh:1737	4	0	0
runtime	ci_live	plugins/spark/lib/execution.sh:1760	3	1	0
runtime	ci_sentinel_state	plugins/spark/lib/execution.sh:1798	3	0	0
runtime	ci_sentinel_report	plugins/spark/lib/execution.sh:1806	3	0	0
runtime	ci_verdict	plugins/spark/lib/execution.sh:1818	3	1	0
runtime	ci_failing_set	plugins/spark/lib/execution.sh:1836	1	0	0
runtime	ci_observe	plugins/spark/lib/execution.sh:1851	3	0	0
runtime	cmd_ci	plugins/spark/lib/execution.sh:1896	1	0	0
runtime	xr_stop_check	plugins/spark/lib/execution.sh:2125	3	1	1
runtime	cmd_crossroad	plugins/spark/lib/execution.sh:2170	2	0	0
runtime	plan_script	plugins/spark/lib/planning.sh:32	1	0	0
runtime	plan_schema_rows	plugins/spark/lib/planning.sh:40	3	5	1
runtime	plan_label_scope	plugins/spark/lib/planning.sh:133	5	1	0
runtime	artifact_labels	plugins/spark/lib/planning.sh:182	3	0	0
runtime	label_set_equal	plugins/spark/lib/planning.sh:187	3	0	0
runtime	label_set_show	plugins/spark/lib/planning.sh:194	4	0	0
runtime	plan_ref_num	plugins/spark/lib/planning.sh:201	5	0	0
runtime	plan_ms_title	plugins/spark/lib/planning.sh:211	2	0	0
runtime	plan_body_matches	plugins/spark/lib/planning.sh:225	3	0	0
runtime	plan_relation_rows	plugins/spark/lib/planning.sh:240	2	0	1
runtime	plan_live_rows	plugins/spark/lib/planning.sh:371	3	2	1
runtime	plan_created_rows	plugins/spark/lib/planning.sh:469	3	1	0
runtime	plan_resolve_labels	plugins/spark/lib/planning.sh:589	2	0	0
runtime	plan_has_label_updates	plugins/spark/lib/planning.sh:608	2	0	0
runtime	cmd_plan	plugins/spark/lib/planning.sh:614	2	0	0
runtime	repo_locator_normalize	plugins/spark/lib/repository.sh:35	4	1	2
runtime	repo_identity	plugins/spark/lib/repository.sh:53	3	1	0
runtime	repo_fact	plugins/spark/lib/repository.sh:73	9	1	0
runtime	repo_binding_path	plugins/spark/lib/repository.sh:78	2	0	0
runtime	repo_bound_locator	plugins/spark/lib/repository.sh:80	2	1	0
runtime	repo_bind	plugins/spark/lib/repository.sh:86	1	1	0
runtime	repo_authorize	plugins/spark/lib/repository.sh:98	2	1	1
runtime	repo_target_of_command	plugins/spark/lib/repository.sh:112	2	0	0
runtime	repo_gh_repo_of_command	plugins/spark/lib/repository.sh:125	2	0	0
runtime	cmd_repo	plugins/spark/lib/repository.sh:137	1	0	0
runtime	fail	plugins/spark/scripts/hooks/commit-msg:14	37	55	32
ci	flag	.github/scripts/alpha-intake-check.sh:17	20	9	26
ci	scan_strict	.github/scripts/alpha-intake-check.sh:60	3	0	0
ci	scan_directive	.github/scripts/alpha-intake-check.sh:64	5	0	0
ci	cl_resolve_publication	.github/scripts/claude-lane/lib.sh:12	1	1	2
ci	cl_check_identity	.github/scripts/claude-lane/lib.sh:28	1	1	1
ci	cl_check_stale_head	.github/scripts/claude-lane/lib.sh:39	3	1	2
ci	cl_index_changes	.github/scripts/claude-lane/lib.sh:44	1	1	0
ci	cl_validate_paths	.github/scripts/claude-lane/lib.sh:55	1	2	0
ci	refuse	.github/scripts/claude-lane/publish.sh:31	8	9	7
ci	out	.github/scripts/claude-lane/resolve.sh:19	45	69	79
ci	usage	.github/scripts/docs-truth.sh:41	20	11	39
ci	row	.github/scripts/docs-truth.sh:78	30	26	33
ci	fail	.github/scripts/docs-truth.sh:79	14	55	32
ci	unknown	.github/scripts/docs-truth.sh:80	19	33	28
ci	pass	.github/scripts/docs-truth.sh:81	30	60	49
ci	have_gh	.github/scripts/docs-truth.sh:83	3	0	0
ci	gap	.github/scripts/ledger-truth-check.sh:58	24	9	37
ci	num_of	.github/scripts/ledger-truth-check.sh:69	1	0	0
ci	num_word	.github/scripts/ledger-truth-check.sh:81	2	0	0
ci	tests_at	.github/scripts/ledger-truth-check.sh:235	4	0	0
ci	tests_worktree	.github/scripts/ledger-truth-check.sh:240	3	0	0
ci	select_matched	.github/scripts/milestone-gate.sh:60	1	0	0
ci	orl_normalize_verdict	.github/scripts/openai-review/lib.sh:19	1	1	1
ci	orl_closing_issues	.github/scripts/openai-review/lib.sh:30	1	1	1
ci	orl_marker	.github/scripts/openai-review/lib.sh:36	2	1	2
ci	orl_reservation	.github/scripts/openai-review/lib.sh:42	2	1	0
ci	orl_invoked	.github/scripts/openai-review/lib.sh:52	1	1	0
ci	orl_has_trusted_claim	.github/scripts/openai-review/lib.sh:60	1	1	1
ci	orl_has_final_marker	.github/scripts/openai-review/lib.sh:79	1	1	1
ci	orl_has_consumed	.github/scripts/openai-review/lib.sh:98	4	1	1
ci	orl_needs_recovery	.github/scripts/openai-review/lib.sh:122	1	1	0
ci	orl_needs_redispatch	.github/scripts/openai-review/lib.sh:141	3	1	0
ci	orl_route	.github/scripts/openai-review/lib.sh:151	1	1	0
ci	orl_is_truncated	.github/scripts/openai-review/lib.sh:166	2	1	0
ci	orl_evidence_truncated	.github/scripts/openai-review/lib.sh:178	2	1	0
ci	orl_manifest_complete	.github/scripts/openai-review/lib.sh:190	2	1	0
ci	orl_enforce_completeness	.github/scripts/openai-review/lib.sh:203	4	1	0
ci	orl_build_evidence	.github/scripts/openai-review/lib.sh:226	2	1	0
ci	orl_checks_terminal	.github/scripts/openai-review/lib.sh:264	3	1	2
ci	orl_checks_passed	.github/scripts/openai-review/lib.sh:289	2	1	1
ci	usage	.github/scripts/release-notes-check.sh:79	20	11	39
ci	is_visible	.github/scripts/release-notes-check.sh:106	1	0	0
ci	has_feature_label	.github/scripts/release-notes-check.sh:110	1	0	0
ci	notes_normalize	.github/scripts/release-notes-check.sh:150	4	0	1
ci	subject_in_notes	.github/scripts/release-notes-check.sh:180	2	0	0
ci	notes_component_for_summary	.github/scripts/release-notes-runner.sh:41	1	1	0
ci	notes_split_body	.github/scripts/release-notes-runner.sh:61	2	1	0
ci	notes_parse_subject	.github/scripts/release-notes-runner.sh:82	1	1	0
ci	notes_component_paths	.github/scripts/release-notes-runner.sh:98	1	0	0
ci	notes_last_tag	.github/scripts/release-notes-runner.sh:112	1	1	1
ci	notes_pr_labels	.github/scripts/release-notes-runner.sh:126	1	2	0
ci	notes_body_breaking	.github/scripts/release-notes-runner.sh:136	1	1	0
ci	notes_norm_subject	.github/scripts/release-notes-runner.sh:176	2	0	0
ci	notes_carrier_ledger_rows	.github/scripts/release-notes-runner.sh:184	1	1	0
ci	notes_carrier_check_unique	.github/scripts/release-notes-runner.sh:209	1	1	0
